"filename", "language", "JavaScript", "Vue", "Markdown", "CSS", "JSON", "XML", "HTML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\about\ThreeJSParallax1.vue", "Vue", 0, 61, 0, 0, 0, 0, 0, 0, 0, 10, 71
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\about\VideoParallax1.vue", "Vue", 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\about\VideoParallax2.vue", "Vue", 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\about\VideoParallax3.vue", "Vue", 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\actions\ActionCard.vue", "Vue", 0, 167, 0, 0, 0, 0, 0, 0, 0, 12, 179
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\actions\ActionDetail.vue", "Vue", 0, 161, 0, 0, 0, 0, 0, 0, 2, 13, 176
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\actions\EditActionNav.vue", "Vue", 0, 87, 0, 0, 0, 0, 0, 0, 3, 3, 93
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\actions\EditActionWorkspace.vue", "Vue", 0, 128, 0, 0, 0, 0, 0, 0, 6, 9, 143
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\engagement\CommentSection.vue", "Vue", 0, 78, 0, 0, 0, 0, 0, 0, 2, 6, 86
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\engagement\LikeButton.vue", "Vue", 0, 81, 0, 0, 0, 0, 0, 0, 3, 5, 89
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\formatting\MinecraftFormattingMenu.vue", "Vue", 0, 206, 0, 0, 0, 0, 0, 0, 3, 10, 219
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\formatting\SymbolDialog.vue", "Vue", 0, 67, 0, 0, 0, 0, 0, 0, 0, 3, 70
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\formatting\TextPreview.vue", "Vue", 0, 81, 0, 0, 0, 0, 0, 0, 2, 4, 87
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\formatting\TipTap.vue", "Vue", 0, 429, 0, 0, 0, 0, 0, 0, 8, 68, 505
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\items\EditItemNav.vue", "Vue", 0, 60, 0, 0, 0, 0, 0, 0, 2, 4, 66
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\items\EditItemWorkspace.vue", "Vue", 0, 176, 0, 0, 0, 0, 0, 0, 2, 11, 189
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\items\ItemCard.vue", "Vue", 0, 159, 0, 0, 0, 0, 0, 0, 4, 12, 175
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\items\ItemDetail.vue", "Vue", 0, 166, 0, 0, 0, 0, 0, 0, 2, 13, 181
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\items\ItemPreview.vue", "Vue", 0, 102, 0, 0, 0, 0, 0, 0, 1, 4, 107
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\items\SelectItem.vue", "Vue", 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 45
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\login\RandomBackground.vue", "Vue", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\misc\CustomSnackbar.vue", "Vue", 0, 63, 0, 0, 0, 0, 0, 0, 0, 4, 67
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\misc\GoBack.vue", "Vue", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\misc\NavigationBar.vue", "Vue", 0, 101, 0, 0, 0, 0, 0, 0, 6, 8, 115
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\misc\PageFooter.vue", "Vue", 0, 50, 0, 0, 0, 0, 0, 0, 2, 1, 53
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\profile\RandomBanner.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\main.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 1, 7, 38
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\plugins\vuetify.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
